gene_name,NC_1,NC_2,NC_3,S4_1,S4_2,S4_3
THY1,8381,9260,9176,8688,9273,7787
THYN1,260,264,231,276,343,273
TIA1,1779,1951,1953,1462,1602,1331
TIAL1,1938,2191,2268,2455,2792,2419
TIAM1,1,2,3,4,7,11
TIAM2,226,254,249,237,281,267
TICAM1,153,131,116,148,172,148
TICAM2,130,123,103,214,108,135
TICRR,113,133,118,521,623,414
TIE1,0,0,0,0,1,0
TIFA,115,141,171,283,406,302
TIFAB,0,0,0,0,0,0
TIGAR,793,828,840,1233,1481,1213
TIGD1,26,35,28,79,88,86
TIGD2,422,434,448,367,528,395
TIGD3,0,0,0,11,2,3
TIGD4,2,2,0,5,3,4
TIGD5,54,62,51,107,119,90
TIGD6,144,117,171,194,221,214
TIGD7,64,77,87,166,154,141
TIGIT,0,0,0,0,0,0
TIMD4,0,0,2,0,0,0
TIMELESS,201,210,268,1083,1284,972
TIMM10,136,178,156,424,589,421
TIMM10B,709,722,691,681,708,608
TIMM13,227,232,231,446,492,359
TIMM17A,1397,1508,1649,2401,2852,2444
TIMM17B,96,125,118,185,222,229
TIMM21,338,352,371,739,920,753
TIMM22,286,354,331,518,578,495
TIMM23,738,776,798,1264,1403,1222
TIMM23B,232,246,251,225,271,245
TIMM23B-AGAP6,3,37,43,112,68,30
TIMM29,87,98,88,89,151,123
TIMM44,314,294,371,713,832,687
TIMM50,361,425,372,803,929,804
TIMM8A,118,123,112,227,311,251
TIMM8B,239,359,326,493,608,526
TIMM9,234,260,293,509,574,483
TIMMDC1,882,1073,1021,1119,1315,1096
TIMP1,3662,4152,4031,6689,7672,6250
TIMP2,29892,31671,31514,12585,14450,11544
TIMP3,23658,26463,26394,7050,7532,6013
TIMP4,50,51,49,130,83,111
TINAG,0,0,0,0,1,0
TINAGL1,2152,2385,2215,157,154,121
TINCR,2,5,0,44,40,21
TINF2,576,581,588,523,677,554
TIPARP,2550,2711,2883,4543,5201,4242
TIPIN,65,76,62,417,516,448
TIPRL,1158,1242,1164,1550,1770,1526
TIRAP,158,160,135,159,184,116
TJAP1,339,388,336,557,649,508
TJP1,3764,3964,4124,3079,3359,2798
TJP2,414,403,472,756,896,673
TJP3,0,0,0,0,0,2
TK1,85,66,76,1627,1684,1436
TK2,717,788,802,744,825,658
TKFC,126,170,150,149,159,122
TKT,3842,4003,3801,4773,5608,4609
TKTL1,0,0,0,0,0,0
TKTL2,0,0,0,0,0,0
TLCD1,14,23,19,30,24,20
TLCD2,464,479,503,112,132,126
TLCD3A,349,324,385,870,1029,832
TLCD3B,0,0,0,9,5,1
TLCD4,57,55,57,25,21,21
TLCD4-RWDD3,42,31,34,30,18,14
TLCD5,197,242,197,214,266,172
TLDC2,9,17,12,8,4,12
TLE1,609,600,555,318,427,390
TLE2,101,132,106,28,28,13
TLE3,94,113,103,314,372,304
TLE4,1483,1523,1597,1677,1770,1518
TLE5,3669,4148,4149,3147,3477,2748
TLE6,10,15,11,7,3,6
TLE7,0,2,0,0,1,0
TLK1,1526,1629,1635,1430,1564,1234
TLK2,853,856,864,1121,1150,1048
TLL1,0,0,0,0,0,0
TLL2,6,7,3,14,15,12
TLN1,13761,14061,14321,10716,12011,10022
TLN2,837,796,845,1148,1319,1102
TLNRD1,118,155,147,354,449,406
TLR1,3,0,4,0,1,3
TLR10,0,0,0,0,0,0
TLR2,1,0,3,6,4,7
TLR3,81,79,69,47,43,36
TLR4,3347,3591,3644,2305,2345,2191
TLR5,1,4,3,1,3,3
TLR6,18,10,19,11,18,14
TLR7,0,0,0,1,0,0
TLR8,0,0,0,0,0,0
TLR9,0,0,0,0,0,0
TLX1,0,0,0,0,0,0
TLX2,0,0,0,0,0,1
TLX3,0,0,0,0,0,0
TM2D1,727,788,833,435,481,427
TM2D2,821,988,922,1010,1130,973
TM2D3,400,491,522,425,493,406
TM4SF1,18,8,13,503,574,427
TM4SF18,1,2,0,16,12,6
TM4SF19,0,1,0,1,2,1
TM4SF19-DYNLT2B,0,0,0,0,0,0
TM4SF20,9,29,20,3,1,0
TM4SF4,0,3,0,0,1,1
TM4SF5,0,0,0,0,0,0
TM6SF1,56,66,70,139,159,154
TM6SF2,44,57,50,21,36,23
TM7SF2,27,42,27,13,13,22
TM7SF3,1050,1199,1230,1497,1593,1349
TM9SF1,808,925,831,813,822,718
TM9SF2,4748,5181,5148,3818,4155,3494
TM9SF3,8446,9313,9248,8174,8837,7302
TM9SF4,1735,1832,1812,1718,1825,1570
TMA16,343,332,375,676,811,623
TMA7,1118,1280,1272,1441,1652,1517
TMA7B,0,0,0,0,0,0
TMBIM1,3160,3617,3387,2804,3296,2726
TMBIM4,1056,1184,1177,778,807,621
TMBIM6,10365,11187,11532,14373,16553,13596
TMC1,147,166,168,21,3,5
TMC2,5,1,0,1,1,0
TMC3,0,0,0,2,0,1
TMC4,2,2,5,0,1,1
TMC5,0,4,1,3,6,3
TMC6,0,2,8,11,13,15
TMC7,27,36,32,16,18,13
TMC8,0,0,0,3,0,0
TMCC1,537,566,574,234,244,181
TMCC2,47,58,44,23,21,22
TMCC3,0,0,2,12,6,3
TMCO1,2487,2613,2647,2520,2878,2423
TMCO2,0,0,0,0,0,0
TMCO3,2631,2847,2939,2547,2998,2468
TMCO4,382,372,382,252,289,237
TMCO5A,0,0,0,0,0,0
TMCO6,47,42,48,50,78,65
TMDD1,2,1,0,0,0,0
TMED1,170,207,201,224,340,229
TMED10,6391,6920,6790,5851,6627,5528
TMED2,6511,7334,7451,7341,8200,7000
TMED3,1247,1399,1251,1550,1744,1332
TMED4,1226,1246,1399,1129,1342,1032
TMED5,2414,2754,2684,3181,3634,3091
TMED6,8,7,7,9,12,14
TMED7,3934,4524,4557,5189,5884,4921
TMED7-TICAM2,303,336,373,573,771,490
TMED8,528,556,604,797,984,788
TMED9,2152,2408,2286,3055,3644,3074
TMEFF1,0,0,3,0,7,12
TMEFF2,8,14,10,6,5,7
TMEM100,1,1,0,0,5,5
TMEM101,178,175,173,249,282,255
TMEM102,50,84,72,35,36,37
TMEM104,435,505,483,328,432,364
TMEM106A,106,120,152,193,202,173
TMEM106B,2512,2756,2825,1847,1904,1703
TMEM106C,446,475,483,1181,1349,1114
TMEM107,42,81,56,96,75,77
TMEM108,1,2,1,3,3,3
TMEM109,1069,1082,1060,1280,1238,1108
TMEM11,309,308,307,383,509,397
TMEM114,0,0,0,0,0,0
TMEM115,595,619,663,665,719,632
TMEM116,88,81,73,118,144,121
TMEM117,327,362,389,124,155,122
TMEM119,2472,2881,2840,163,185,147
TMEM120A,170,166,190,107,117,110
TMEM120B,258,259,292,312,363,311
TMEM121,6,11,11,5,10,4
TMEM121B,0,3,0,9,5,10
TMEM123,9423,10342,10384,8350,9466,7730
TMEM125,1,9,7,0,0,0
TMEM126A,239,255,273,448,534,436
TMEM126B,622,738,695,982,1123,849
TMEM127,1902,2122,2055,1335,1523,1281
TMEM128,424,517,497,471,491,465
TMEM129,400,441,471,221,219,177
TMEM130,306,307,260,16,12,13
TMEM131,1958,1912,2042,2942,3297,2694
TMEM131L,136,122,125,183,288,200
TMEM132A,67,67,94,165,232,163
TMEM132B,43,32,49,106,106,80
TMEM132C,0,0,0,0,0,0
TMEM132D,0,0,0,0,0,0
TMEM132E,0,0,1,1,2,5
TMEM134,85,94,103,57,73,78
TMEM135,407,474,427,368,501,402
TMEM138,411,448,419,537,575,533
TMEM139,3,10,7,1,0,3
TMEM140,231,265,280,229,219,165
TMEM141,169,172,168,204,171,175
TMEM143,46,52,53,54,62,57
TMEM144,63,84,87,62,79,54
TMEM145,0,0,0,2,3,0
TMEM147,530,515,566,653,747,635
TMEM14A,352,395,379,225,249,239
TMEM14B,446,477,453,708,760,696
TMEM14C,1219,1355,1430,1277,1498,1161
TMEM150A,218,225,237,72,54,68
